mz,rt,height,intensity,rt_min,rt_max,mz_min,mz_max,SN,peakwidth
163.044999497583,2.1749264,36583.87890625,279828.46168753,2.0341786,2.2835036,163.044876098633,163.045074462891,20,0.249325
180.99982283439,2.2519763999999998,26957.82421875,128586.41766663699,2.190241,2.3762347999999998,180.999786376953,180.999923706055,7,0.1859938
255.10748750504902,2.2365327,38222.34375,136636.280162306,2.1279868,2.2835036,255.107421875,255.107574462891,7,0.15551679999999998
357.248361390729,2.2058348,46827.59765625,512148.174110456,1.9555911,2.329889,357.24783325195295,357.248657226563,14,0.3742979
113.793065859484,2.2365327,18046.142578125,130743.45222944599,2.1279868,2.329889,113.79299163818399,113.79312133789101,15122,0.2019022
153.049274766025,2.2058348,39721.84765625,240259.402783717,2.002966,2.298966,153.049240112305,153.049331665039,31,0.29600000000000004
165.006938233331,2.2212098,28837.49609375,188272.23015073,2.0969368000000004,2.298966,165.006820678711,165.007171630859,28836,0.20202920000000002
259.138871244656,2.1594806,84245.25,844602.81148034,1.924539,2.4231181,259.138671875,259.139068603516,16,0.4985791
335.137472446104,2.1749264,46299.4921875,429865.80194181204,2.018589,2.3762347999999998,335.137115478516,335.137817382813,10,0.3576458
172.03244768366798,2.0496263999999997,63525.43359375,1502689.89648254,1.7215806,2.3452452,172.032257080078,172.032577514648,19,0.6236646
175.045031535772,2.1749264,70519.9609375,1081405.86757436,1.8777536,2.4231181,175.04493713378898,175.045120239258,9,0.5453645
145.034530729161,2.1594806,55322.59375,674891.029268005,1.9874015,2.4231181,145.034408569336,145.034622192383,12,0.4357166
257.123128485745,2.1749264,67908.8125,838326.208126916,1.924539,2.329889,257.122955322266,257.12335205078097,10,0.40535
371.101179652147,1.034641,389411.46875,1161004.10002407,0.87784723,1.2062161,371.100891113281,371.10153198242205,20,0.32836887
261.118146628391,2.1594806,79043.3515625,921365.721736281,1.9089348000000002,2.4231181,261.117919921875,261.118316650391,15,0.5141833
229.074533652215,2.2678993,42499.328125,349295.262918674,2.0496263999999997,2.3605765,229.074310302734,229.074645996094,14,0.31095009999999995
279.074896358543,2.1749264,79057.78125,985364.2598566528,1.9874015,2.500141,279.074615478516,279.0751953125,6,0.5127395
131.01886311864598,2.1749264,77829.40625,932088.202611385,1.8933431,2.3762347999999998,131.018753051758,131.018951416016,77828,0.48289170000000003
164.987116812602,2.3452452,27455.09375,171423.926321934,2.2519763999999998,2.4384327999999997,164.986953735352,164.987243652344,7,0.1864564
217.091993514907,2.190241,49112.44140625,638523.488073434,1.9400015,2.5156617999999997,217.09178161621102,217.09226989746102,18,0.5756603
116.99093194042901,2.329889,51167.21875,282431.341136842,2.143889,2.4384327999999997,116.990531921387,116.991180419922,12,0.2945438
203.076239401343,2.1594806,92986.6796875,1247818.44242086,1.8933431,2.3920828,203.076095581055,203.076416015625,11,0.4987397
273.154448569454,2.1594806,89498.296875,1334253.83069202,1.8777536,2.5156617999999997,273.154144287109,273.15460205078097,27,0.6379081999999999
291.164975029098,2.2058348,84786.1640625,1425476.03197456,1.8933431,2.4846264,291.16461181640597,291.165252685547,15,0.5912833000000001
232.923010619383,2.2212098,116100.65625,1731490.50137016,1.862141,2.4540389,232.922821044922,232.92335510253898,8,0.5918979
239.112605821246,2.1749264,120658.671875,1785852.52111281,1.862141,2.500141,239.112457275391,239.112747192383,19,0.638
277.149399489482,2.143889,61854.68359375,919468.456034227,1.924539,2.407689,277.14898681640597,277.149627685547,61854,0.48315
193.001894911086,2.190241,55234.47265625,784241.366605753,2.0496263999999997,2.546866,193.001739501953,193.002059936523,7,0.49723959999999995
247.04869336339402,2.2519763999999998,70376.7265625,817467.81661997,2.0496263999999997,2.500141,247.04856872558602,247.04884338378898,7,0.4505146
248.07657483924703,2.1749264,63587.671875,990789.6590349572,1.8777536,2.4540389,248.07640075683602,248.076766967773,20,0.5762853
263.07992563736303,2.2212098,54593.44140625,587644.177634866,2.0496263999999997,2.4231181,263.079711914063,263.080169677734,14,0.3734917
271.084944110472,2.2212098,77759.84375,795600.844500474,2.018589,2.3920828,271.084716796875,271.08514404296903,7,0.3734938
